productidnew_bi_strs,formatcode_bi_txtm,issnnum_en_strs,issnnum_fr_strs
21-015-X,17,1705-088X,1705-088X
21-016-X,8,1705-0847,1705-0847
21-016-X,17,1705-0847,1705-0847
21-017-X,8,1705-0960,1705-0960
21-017-X,17,1705-0960,1705-0960
21-018-X,8,1705-0863,1705-0863
21-018-X,17,1705-0863,1705-0863
21-019-X,8,1705-1886,1705-1886
21-020-X,8,1705-2920,1705-2920
21-020-X,17,1705-2920,1705-2920
21-021-M,8,1708-1939,1708-1939
21-021-M,17,1708-1939,1708-1939
21-022-X,17,1918-0527,1918-0527
21-022-X,8,1918-0527,1918-0527
21-205-X,12,1188-7516,1188-7516
21-206-X,17,1712-4751,1712-4751
21-206-X,8,1712-4751,1712-4751
21-207-X,17,1712-4778,1712-4778
21-207-X,8,1712-4778,1712-4778
21-208-X,17,1712-4794,1712-4794
21-208-X,8,1712-4794,1712-4794
21-522-X,12,0835-6246,0835-6246
21-522-X,8,1493-8863,1493-8863
21-523-X,12,0-660-14315-1,0-660-14315-1
21-525-X,12,0-660-60611-9,0-660-60611-9
21-601-M,17,1707-0368,1707-0368
21-601-M,8,1707-0368,1707-0368
21-603-U,12,0833-6210,0833-6210
21-603-X,12,0833-6210,0833-6210
21F0001X,2,1920-1230,1920-1230
21F0001X,3,1201-8325,1201-8325
21F0003G,8,1701-8242,1701-8242
21F0003G,17,1701-8242,1701-8242
21F0005G,12,1715-3298,1715-3298
21F0005G,17,1709-5859,1709-5859
21F0005G,8,1709-5859,1709-5859
21F0008X,8,1481-8213,1481-8213
21F0008X,17,1481-8213,1481-8213
22-002-X,12,0575-8548,0575-8548
22-002-X,8,1488-9900,1488-9900
22-002-X,17,1488-9900,1488-9900
22-003SX,12,0383-008X,0383-008X
22-003-X,8,1480-7602,1480-7602
22-003-X,17,1480-7602,1480-7602
22-003-X,12,0383-008X,0383-008X
22-007-X,12,0820-9030,0820-9030
22-007-X,8,1492-4048,1492-4048
22-007-X,17,1492-4048,1492-4048
22-008-U,8,1705-7035,1705-7035
22-008-X,17,1705-7035,1705-7035
22-008-X,8,1705-7035,1705-7035
22-201-X,8,1496-2128,1496-2128
22-201-X,12,0072-5358,0072-5358
22-202-X,8,1481-9872,1481-9872
22-202-X,12,1204-0835,1204-0835
22-202-X,17,1481-9872,1481-9872
22-203-X,12,0318-5184,0318-5184
22-205-X,17,1705-8783,1705-8783
22-205-X,8,1705-8783,1705-8783
23-001QX,12,0300-0753,0300-0753
23-001-X,12,0300-0753,0300-0753
23-001-X,8,1480-7947,1480-7947
23-003-X,8,1499-2558,1499-2558
23-008-X,12,0828-3095,0828-3095
23-009-X,17,1206-5420,1206-5420
23-009-X,8,1206-5420,1206-5420
23-010-X,17,1705-1207,1705-1207
23-010-X,8,1705-1207,1705-1207
23-011-X,17,1705-1223,1705-1223
