productidnew_bi_strs,formatcode_bi_txtm,issnnum_en_strs,issnnum_fr_strs
95-398-X,12,0-660-57271-0,0-660-57271-0
95F0253X,3,0-660-59299-1,0-660-59299-1
95F0254X,3,0-660-59300-9,0-660-59300-9
95F0255X,3,0-660-59301-7,0-660-59301-7
95F0256X,3,0-660-59302-5,0-660-59302-5
95F0257X,3,0-660-59303-3,0-660-59303-3
95F0258X,3,0-660-59304-1,0-660-59304-1
95F0259X,3,0-660-59305-X,0-660-59305-X
95F0260X,3,0-660-59306-8,0-660-59306-8
95F0261X,3,0-660-59307-6,0-660-59307-6
95F0262X,3,0-660-59308-4,0-660-59308-4
95F0263X,3,0-660-59309-2,0-660-59309-2
95F0264X,3,0-660-59310-6,0-660-59310-6
95F0265X,3,0-660-59311-4,0-660-59311-4
95F0266X,3,0-660-59312-2,0-660-59312-2
95F0267X,3,0-660-59313-0,0-660-59313-0
95F0268X,3,0-660-59350-5,0-660-59350-5
95F0303X,8,0-662-34464-2,0-662-34464-2
95F0304X,3,0-660-61959-8,0-660-61959-8
95F0353X,3,0-660-61960-X,0-660-61960-X
95F0354X,3,0-660-61960-1,0-660-61960-1
95M0010X,3,0-660-59288-6,0-660-59288-6
95M0011X,3,0-660-59289-4,0-660-59289-4
95M0012X,3,0-660-59290-8,0-660-59290-8
95M0013X,3,0-660-60582-1,0-660-60582-1
95M0015X,3,0-660-60584-8,0-660-60584-8
96-301-X,12,0-660-57272-9,0-660-57272-9
96-303-S,12,0-660-14307-0,0-660-14307-0
96-303-X,12,0-660-14306-2,0-660-14306-2
96-304-X,12,0-660-14311-9,0-660-14311-9
96-305-X,12,0-13-150830-X,0-13-150830-X
96-307-X,12,0-13-310624-1,0-13-310624-1
96-309-X,12,0-13-310343-9,0-13-310343-9
96-311-X,12,0-13-310665-9,0-13-310665-9
96-312-X,12,0-13-150855-5,0-13-150855-5
96-313-X,12,0-13-150814-8,0-13-150814-8
96-315-X,12,0-13-150905-5,0-13-150905-5
96-316-X,12,0-13-150871-7,0-13-150871-7
96-317-X,12,0-13-310327-7,0-13-310327-7
96-318-X,12,0-13-310368-4,0-13-310368-4
96-320-X,12,0-13-310640-3,0-13-310640-3
96-325-X,8,0-662-35659-4,0-662-35659-4
96-325-X,12,0-660-61862-1,0-660-61862-1
96-325-X,17,0-662-35659-4,0-662-35659-4
96-328-M,17,1710-8012,1710-8012
97F0011X,8,0-662-34923-7,0-662-34923-7
98-121-X,12,0-660-54013-4,0-660-54013-4
98-122-X,12,0-660-54014-2,0-660-54014-2
98-126-X,12,0-660-54018-5,0-660-54018-5
98-127-X,12,0-660-54019-3,0-660-54019-3
99-136-X,12,0-660-13353-9,0-660-13353-9
