extras_productidnew_bi_strs,issnnum_en_bi_strs,issnnum_fr_bi_strs
75F0026X,1710-7482,1710-7482
65-003-X,1911-5458,1911-5458
65-004-X,1181-6732,1181-6732
65-006-X,1911-5431,1911-5431
81-586-X,0-662-29798-9,0-662-29798-9
67-203-X,1499-1454,1499-1454
67-508-X,0-660-56556-0,0-660-56556-0
81M0009X,0-660-60619-4,0-660-60619-4
72F0002X,1209-3521,1209-3521
72F0002X,1486-8199,1486-8199
82-618-M,1713-8833,1713-8833
82-619-M,1715-3026,1715-3026
75F0033M,1708-8798,1708-8798
75M0001X,1203-4932,1203-4932
83-246-X,1195-4191,1195-4191
83-246-X,1195-4191,1195-4191
81-588-X,0-662-29507-2,0-662-29507-2
85-004-X,1918-9664,1918-9664
85-005-X,1925-3427,1925-3427
82-622-X,1915-5190,1915-5190
82-003-S,1708-766X,1708-766X
85-523-X,0-660-54881-X,0-660-54881-X
84-210-X,1201-7353,1201-7353
82-619-M,1715-3026,1715-3026
82-620-M,1716-6713,1716-6713
82-622-X,1915-5190,1915-5190
82-624-X,1925-6493,1925-6493
87-530-X,0-660-52851-7,0-660-52851-7
87F0001X,1708-8119,1708-8119
84-208-X,1708-1440,1708-1440
84-210-X,1201-7353,1201-7353
65-006-X,1181-6740,1181-6740
85-540-G,0-660-16853-7,0-660-16853-7
85-542-X,0-660-16969-X,0-660-16969-X
87-004-X,1481-1030,1481-1030
87F0004X,0-660-62398-6,0-660-62398-6
87F0004X,0-660-62397-8,0-660-62397-8
95F0261X,0-660-59307-6,0-660-59307-6
96-313-X,0-13-150814-8,0-13-150814-8
81-590-X,1712-5472,1712-5472
81-593-X,0-662-66771-9,0-662-66771-9
71-221-X,1708-2439,1708-2439
73-002-X,1920-1761,1920-1761
75M0011X,0-660-61974-1,0-660-61974-1
81-003-X,1209-0859,1209-0859
85-214-X,1201-3501,1201-3501
85-217-X,1201-0278,1201-0278
65-007-X,1181-6759,1181-6759
71-222-X,1710-4254,1710-4254
71-519-X,0-660-53436-3,0-660-53436-3
71-533-X,0-660-52240-3,0-660-52240-3
71-538-X,0-660-14192-2,0-660-14192-2
82-549-X,0-660-54876-3,0-660-54876-3
73M0001X,0-660-60646-1,0-660-60646-1
74-401-S,1492-8841,1492-8841
82-624-X,1925-6493,1925-6493
81-005-X,1715-4413,1715-4413
81-204-X,0706-3652,0706-3652
81-210-X,0704-6596,0704-6596
81-219-X,0318-2991,0318-2991
84-212-X,1195-4140,1195-4140
65-007-X,1911-5423,1911-5423
65-202-X,1181-6767,1181-6767
65-203-X,0380-1349,0380-1349
65-209-S,1911-8694,1911-8694
65-209-X,1911-8678,1911-8678
82-552-X,0-660-54879-8,0-660-54879-8
82-553-X,0-660-54880-1,0-660-54880-1
82-554-X,0-660-54892-5,0-660-54892-5
82-562-X,0-660-11938-2,0-660-11938-2
82-563-X,0-660-11874-2,0-660-11874-2
82-625-X,1920-9118,1920-9118
82-626-X,1929-7556,1929-7556
82F0075X,1488-5360,1488-5360
82F0086X,1710-3347,1710-3347
84-215-X,1913-7826,1913-7826
84-215-X,1913-7826,1913-7826
84-536-X,0-660-58946-X,0-660-58946-X
85-219-X,1201-348X,1201-348X
85-222-X,1481-3750,1481-3750
85-224-X,1480-784X,1480-784X
87-007-X,1708-2471,1708-2471
87-008-G,1708-7929,1708-7929
87F0006X,1708-8739,1708-8739
87F0007X,1708-8445,1708-8445
87F0008X,1916-5919,1916-5919
87F0010X,1918-3127,1918-3127
95-397-X,0-660-57270-2,0-660-57270-2
95F0353X,0-660-61960-X,0-660-61960-X
71-586-X,0-660-18452-4,0-660-18452-4
95M0010X,0-660-59288-6,0-660-59288-6
63-607-X,0829-741X,0829-741X
63-608-X,0833-2274,0833-2274
63F0002X,1481-6466,1481-6466
63F0002X,1201-9038,1201-9038
63F0026X,1703-7581,1703-7581
95F0354X,0-660-61960-1,0-660-61960-1
93-318-X,0-660-57129-3,0-660-57129-3
71-587-X,0-662-40592-7,0-662-40592-7
71-588-X,1919-1200,1919-1200
82-565-X,0-660-53411-8,0-660-53411-8
82-567-X,0-660-60555-4,0-660-60555-4
81-229-X,0706-3679,0706-3679
75-001-X,1492-496X,1492-496X
75-001-X,1492-496X,1492-496X
87-202-X,0847-1223,0847-1223
81-241-X,0707-9737,0707-9737
81-257-X,0706-3717,0706-3717
